Latitude,PPFD,FvFm_mean,qP,qL,NPQ,phiPSII,phiNPQ,phiNO_new
39.026,1012.9525,0.570461542,0.52509636,0.410117297,0.519008507,0.250562904,0.237524219,0.477179835
39.026,1154.0415,0.568318495,0.504977162,0.388407645,0.501992549,0.240814673,0.235463156,0.489618048
39.026,1295.1305,0.568419965,0.498331314,0.383559363,0.519173882,0.236496954,0.241375205,0.486805116
39.026,1436.2195,0.569381992,0.486627985,0.37363045,0.518689458,0.231734306,0.24169686,0.489833767
44.99013,95.874,0.586563364,0.856183742,0.758752969,0.175108344,0.473529784,0.076663924,0.441626972
44.99013,166.4185,0.583108921,0.82560932,0.719761282,0.249530278,0.441054862,0.108549297,0.442769596
44.99013,236.963,0.581927439,0.795484869,0.683343346,0.354477024,0.408084876,0.149808689,0.433888551
44.99013,307.5075,0.581749509,0.736884691,0.619057859,0.467932068,0.364406565,0.195446959,0.429519879
44.99013,378.052,0.582079343,0.688758943,0.571346726,0.58065466,0.329133987,0.237016941,0.420909123
44.99013,448.5965,0.581345709,0.645559893,0.53062184,0.682956455,0.299428256,0.272993544,0.413144382
44.99013,519.141,0.581125145,0.602266975,0.48933169,0.758286831,0.273355203,0.300314817,0.410085661
44.99013,589.6855,0.582066004,0.591826233,0.483602744,0.840126366,0.262762734,0.322671569,0.39783454
44.99013,660.23,0.580785918,0.55900345,0.453770415,0.893815293,0.243817656,0.341856816,0.396137501
44.99013,730.7745,0.5806387,0.536014851,0.43380599,0.953740139,0.230164435,0.35904553,0.391001424
44.99013,871.8635,0.581157968,0.512688102,0.414478607,1.023127065,0.216553352,0.378386663,0.384591438
44.99013,95.874,0.629521307,0.859095228,0.741983703,0.177555483,0.510628582,0.071003948,0.407645987
44.99013,166.4185,0.625100673,0.833929427,0.711886111,0.237308605,0.48218385,0.095802124,0.411479772
44.99013,236.963,0.620535402,0.800903677,0.67393259,0.315167325,0.448191259,0.127368112,0.412465944
44.99013,307.5075,0.618668065,0.762087465,0.63247131,0.423068457,0.410796395,0.167720963,0.406609153
44.99013,378.052,0.617241175,0.710057948,0.580108726,0.555670723,0.367595269,0.21595853,0.399825845
44.99013,448.5965,0.616968487,0.691450677,0.566377432,0.664983834,0.347134794,0.248349083,0.386593696
44.99013,519.141,0.616781564,0.63972266,0.516794389,0.763379726,0.31328523,0.282662236,0.38376285
44.99013,589.6855,0.617405087,0.637012329,0.519256404,0.855438804,0.304744415,0.304566435,0.36994469
44.99013,660.23,0.616006381,0.597367656,0.480017038,0.910482003,0.280871562,0.32524753,0.371418707
44.99013,730.7745,0.616316701,0.580076923,0.466295301,0.977707573,0.268509764,0.342802576,0.365412794
44.99013,871.8635,0.615543017,0.559041427,0.450193959,1.051838228,0.253672575,0.362790839,0.359169745
44.99013,95.874,0.601811068,0.847056416,0.738121526,0.201580916,0.475889429,0.084823622,0.430402497
44.99013,166.4185,0.600693876,0.819208555,0.702604772,0.270900324,0.447822264,0.113652872,0.432632988
44.99013,236.963,0.595700305,0.760739322,0.637861567,0.408207741,0.393705979,0.168434799,0.427901644
44.99013,307.5075,0.594367622,0.717929155,0.599211888,0.556334746,0.355134434,0.220236223,0.412295895
