pop,lat,PPFD,FvFmprime,qP,qL,qN,NPQ,phiPSII,phiNPQ,phiNO,JETR,JNPQ,JNO,Jtot,phiNO_new,FvFmprime_mean,FvFm_mean
DS,39.026,236.963,0.448733628,0.683076214,0.576662416,0.385666325,0.265206245,0.310468765,0.136622,0.552909235,67.65212048,29.77036355,120.4806615,217.9031455,0.542887451,0.448733628,0.503967033
DS,39.026,307.5075,0.43845454,0.641978226,0.536000229,0.442009183,0.319468423,0.284911061,0.162669216,0.552419724,80.56529146,45.99853987,156.2096463,282.7734777,0.538965703,0.43845454,0.503353292
DS,39.026,378.052,0.429954401,0.59838993,0.494242682,0.490219947,0.364854094,0.261434038,0.185810696,0.552755266,90.88592483,64.59593815,192.1619462,347.6438092,0.537968013,0.429954401,0.502656095
DS,39.026,448.5965,0.42484829,0.577876441,0.475409717,0.514371998,0.392004468,0.248963683,0.198706237,0.55233008,102.7010399,81.96913269,227.8439686,412.5141411,0.535691212,0.42484829,0.502022163
DS,39.026,519.141,0.421669053,0.560084907,0.458643757,0.527035228,0.404492451,0.239883532,0.205199948,0.55491652,114.5166735,97.95926903,264.9085304,477.384473,0.5375235,0.421669053,0.500881979
DS,39.026,589.6855,0.419412894,0.542675216,0.442121109,0.539791084,0.419973442,0.230061504,0.212843277,0.55709522,124.7519559,115.4152896,302.0875598,542.2548054,0.537289772,0.419412894,0.501078905
DS,39.026,660.23,0.419867275,0.52163462,0.421091837,0.541406322,0.424744069,0.222036259,0.216660197,0.561303544,134.8037941,131.5398517,340.7814909,607.1251367,0.541424505,0.419867275,0.502100652
DS,39.026,730.7745,0.41872419,0.5083494,0.410025992,0.542228505,0.424098698,0.215872571,0.217664877,0.566462551,145.0653895,146.269811,380.6602674,671.9954679,0.545794438,0.41872419,0.500801192
DS,39.026,871.8635,0.417730988,0.484005696,0.385976795,0.552082975,0.437163026,0.204439573,0.225025298,0.57053513,163.9065925,180.4109121,457.4186284,801.7361331,0.548658127,0.417730988,0.501868796
DS,39.026,1012.9525,0.418068886,0.469760892,0.372343973,0.547988131,0.433351676,0.198586979,0.225570239,0.575842782,184.9791629,210.1134435,536.3841896,931.476796,0.553033785,0.418068886,0.501595751
