Taxa,NDVI,PRI,ExGm,GRVI,ARI,RGR,NDVI_sd,PRI_sd,ExGm_sd,GRVI_sd,ARI_sd,RGR_sd
Marchantia,0.728381963,-0.016264722,4.076881419,-0.04485263,0.016198238,1.045189112,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.793004996,-0.016688062,4.761769374,-0.000597766,0.084834038,0.98294152,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.506796117,-0.010315355,4.25155929,0.164790283,0.020178247,0.744188298,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.756868,0.00076864,1.376718021,-0.073294018,0.023239918,0.935221154,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.700022188,-0.011392053,6.01630719,0.14077272,0.05610608,0.764921665,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.506593846,-0.012658228,4.27818394,0.021022712,0.047811064,0.935576466,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.636203866,-0.0202977,4.838011204,0.138103083,0.080418415,0.782875494,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.643066121,-0.039944586,6.870943044,0.044654472,0.097789116,0.908225893,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.820458772,-0.015554441,4.21267507,0.068736624,0.219934338,0.877718095,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.64934509,-0.046223224,3.71748366,0.094166814,0.21440926,0.839118551,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.76699456,-0.04445919,3.45538282,0.09229616,0.050306523,0.832235639,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.888111888,-0.088277858,2.105452848,-0.089187269,1.19463143,1.118367125,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.986119717,-0.059125964,10.46246965,0.166721794,1.958181669,0.749251139,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.851084082,-0.04315197,5.202787115,0.09517167,1.542360765,0.839112647,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.741034408,-0.005010737,2.817931839,0.017059645,0.08486508,0.943919474,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.727570631,-0.148878681,7.184859944,0.140040786,0.148512254,0.783220322,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.769825456,0.022160665,4.165522876,0.039965835,0.06161849,0.921201088,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.750765656,0.007417397,1.162217554,-0.518806746,0.131186171,1.532585687,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.85049382,-0.078804348,5.97821662,0.899549429,0.097843265,0.216595266,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.71145686,0.013413633,4.906951447,0.054350375,0.0473974,0.899743408,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.866603744,-0.076056338,3.260718954,0.078016703,0.112860448,0.863371513,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,1.03064248,-0.038938053,4.841027077,0.107112042,0.143169399,0.827386819,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.956834532,-0.104173107,6.109047619,0.024536348,0.127743165,0.945349738,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.935624546,-0.163314917,8.056349206,0.320508469,0.100532845,0.574873635,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.896584855,-0.048600884,9.08907563,0.199556248,0.299539171,0.709243414,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.841904996,0.020979021,2.588958917,-0.02651503,0.04810672,1.011179825,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.548148148,-0.019541565,8.394164332,0.104025281,0.025157447,0.832624784,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.712733856,-0.030023095,5.190051354,-0.052993895,0.109986505,1.058669522,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.736189163,-0.03670412,7.452665733,0.02456233,0.149237862,0.908949603,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.545996593,-0.018704175,4.004817927,0.145877396,0.045419711,0.771592196,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.78358209,-0.022294725,4.419799253,0.061415595,0.053136076,0.881594973,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.594433755,-0.009417094,4.629150327,0.1311192,0.026067178,0.791031155,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.681386711,-0.045115453,5.60054155,0.277455577,0.068819051,0.612134041,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.733023256,-0.027658746,7.067418301,0.196357742,0.075006865,0.708607389,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.712350182,0.01897019,0.995957049,-0.232215544,0.05987941,1.410886723,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.866400798,-0.022922065,3.05538282,0.031145264,0.037288935,0.926891628,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.724182168,-0.012374504,6.884757236,0.191937025,0.076820485,0.714327046,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.740639025,-0.002915452,5.040779645,0.035981903,0.121009337,0.926281815,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.502326136,-0.110067114,7.751890756,0.112649221,0.1914766,0.817560911,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
Marchantia,0.650672422,-0.019050327,4.286363212,0.085024807,0.022021953,0.855996405,0.132724687,0.035158133,2.145762048,0.14422603,0.254788455,0.171106719
